id_sim,year,month,day,seed,CV Profit,Top20/Bottom20 Ratio,Bankruptcy Risk,Gini Index
91,2026,11,17,9.102023961735639E17,0.02608198307428813,1.0973377557240913,0.0,0.018575677611427182
96,2026,11,20,6.382099460904479E18,0.024635893804172585,1.0910555469470093,0.0,0.01755279979804783
83,2026,11,19,5.594090867782912E17,0.028108291605698738,1.1021255021506138,0.0,0.019708093692655755
84,2026,11,18,6.005986921513206E18,0.028785336732703354,1.1062852229689801,0.0,0.020299203741456197
95,2026,11,19,2.0171452079049892E18,0.020351877041616475,1.074792995227259,0.0,0.0144938974557606
90,2026,11,19,6.035458547893711E18,0.02486851940033361,1.0931622740807847,0.0,0.017662903502452802
93,2026,11,19,5.617863043828535E18,0.023244170659992524,1.0884324063838502,0.0,0.01677191372632625
81,2026,11,19,7.321516021041606E18,0.02248287040650355,1.0837327854715606,0.0,0.01614953370469517
92,2026,11,18,3.0200617878779566E18,0.022293694742108114,1.081796574684518,0.0,0.015795358571630214
88,2026,11,17,6.730945950873178E18,0.020840217120012505,1.0761364700916232,0.0,0.014768968888981503
82,2026,11,18,6.35493686753437E18,0.022159180747203914,1.081161168660342,0.0,0.015697566024342764
97,2026,11,21,1.8995490211313254E17,0.023387362492473203,1.0879504944783245,0.0,0.01678768576673737
80,2026,11,19,5.640733279973713E18,0.02512134997363424,1.0956914720941007,0.0,0.018147176420696225
86,2026,11,19,4.761185233657941E18,0.02244680071181617,1.0834260001531297,0.0,0.01605558553472177
94,2026,11,20,2.845830034239694E18,0.01737514150912919,1.0655931257535518,0.0,0.012563939968295025
87,2026,11,18,3.836345349235617E18,0.021683403904069552,1.0828607281336302,0.0,0.015784590827944874
99,2026,11,20,4.573612603220361E18,0.025806068080115097,1.0975870618000814,0.0,0.018557725160851177
85,2026,11,19,5.547295844673057E18,0.01680447329721925,1.0604169312611627,0.0,0.011824534389743811
98,2026,11,19,4.983645792114481E18,0.02594957447846334,1.09598776296899,0.0,0.01848340849154032
89,2026,11,18,4.5883026077742356E18,0.02445291262505067,1.0901610630593013,0.0,0.017291394232578954
87,2027,11,21,3.836345349235617E18,0.027460695141126288,1.1019614397026576,0.0,0.01951019225594327
92,2027,11,17,3.0200617878779566E18,0.024763846013198608,1.092760877520895,0.0,0.01774980443520799
99,2027,11,19,4.573612603220361E18,0.01960077574022854,1.0721329699825803,0.0,0.013969167199744045
91,2027,11,17,9.102023961735639E17,0.024015236002670505,1.091625480807662,0.0,0.017372418140807474
96,2027,11,19,6.382099460904479E18,0.024374375490960037,1.0902964533001946,0.0,0.01737495897733509
83,2027,11,19,5.594090867782912E17,0.028081066588662704,1.105821430409535,0.0,0.020175600079604696
